127.0.0.1 - - [20/Sep/2023:09:00:09 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:00:10 +0900] "GET /SMT/index.jsp HTTP/1.1" 200 3295
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:00:10 +0900] "GET /SMT/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:00:10 +0900] "GET /SMT/js/board.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:00:10 +0900] "GET /SMT/img/smt%EB%A1%9C%EA%B3%A0.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:00:10 +0900] "GET /SMT/img/testBack.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:00:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:00:49 +0900] "GET /SMT/index.jsp HTTP/1.1" 200 3295
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:01:04 +0900] "GET /SMT/index.jsp HTTP/1.1" 200 3295
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:01:19 +0900] "GET /SMT/index.jsp HTTP/1.1" 200 3295
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:01:19 +0900] "GET /SMT/index.jsp HTTP/1.1" 200 3295
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:01:23 +0900] "GET /SMT/index.jsp HTTP/1.1" 200 3295
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:01:23 +0900] "GET /SMT/css/main.css HTTP/1.1" 200 2752
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:01:23 +0900] "GET /SMT/js/board.js HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:01:23 +0900] "GET /SMT/img/smt%EB%A1%9C%EA%B3%A0.png HTTP/1.1" 200 7460
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:01:23 +0900] "GET /SMT/img/testBack.jpg HTTP/1.1" 200 278373
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:01:23 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Sep/2023:11:41:10 +0900] "GET /SMT/index.jsp HTTP/1.1" 200 3295
0:0:0:0:0:0:0:1 - - [20/Sep/2023:11:41:10 +0900] "GET /SMT/css/main.css HTTP/1.1" 200 2925
0:0:0:0:0:0:0:1 - - [20/Sep/2023:11:41:10 +0900] "GET /SMT/img/smt%EB%A1%9C%EA%B3%A0.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:11:41:10 +0900] "GET /SMT/img/testBack.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:11:41:13 +0900] "GET /SMT/index.jsp HTTP/1.1" 200 3295
0:0:0:0:0:0:0:1 - - [20/Sep/2023:11:41:13 +0900] "GET /SMT/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:11:41:14 +0900] "GET /SMT/index.jsp HTTP/1.1" 200 3295
0:0:0:0:0:0:0:1 - - [20/Sep/2023:11:41:14 +0900] "GET /SMT/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:11:41:14 +0900] "GET /SMT/index.jsp HTTP/1.1" 200 3295
