127.0.0.1 - - [15/Sep/2023:15:08:09 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/Sep/2023:15:08:10 +0900] "GET /SMT/index.jsp HTTP/1.1" 200 9800
0:0:0:0:0:0:0:1 - - [15/Sep/2023:15:08:10 +0900] "GET /SMT/js/board.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2023:15:08:12 +0900] "GET /SMT/index.jsp HTTP/1.1" 200 9800
0:0:0:0:0:0:0:1 - - [15/Sep/2023:15:08:12 +0900] "GET /SMT/boardPage HTTP/1.1" 200 15527
0:0:0:0:0:0:0:1 - - [15/Sep/2023:15:08:13 +0900] "POST /SMT/goBoard HTTP/1.1" 200 1138
0:0:0:0:0:0:0:1 - - [15/Sep/2023:15:08:15 +0900] "GET /SMT/BoardInfo?board_ID=723 HTTP/1.1" 200 24259
0:0:0:0:0:0:0:1 - - [15/Sep/2023:15:08:15 +0900] "GET /SMT/file/%EC%82%AC%EC%A7%84%EC%9E%85%EB%8B%88%EB%8B%A4.png HTTP/1.1" 404 873
0:0:0:0:0:0:0:1 - - [15/Sep/2023:15:08:15 +0900] "POST /SMT/listAns HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [15/Sep/2023:15:08:22 +0900] "GET /SMT/BoardInfo?board_ID=319 HTTP/1.1" 200 24338
0:0:0:0:0:0:0:1 - - [15/Sep/2023:15:08:22 +0900] "POST /SMT/listAns HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [15/Sep/2023:15:08:59 +0900] "GET /SMT/boardPage HTTP/1.1" 200 15527
0:0:0:0:0:0:0:1 - - [15/Sep/2023:15:09:00 +0900] "POST /SMT/goBoard HTTP/1.1" 200 1121
0:0:0:0:0:0:0:1 - - [15/Sep/2023:15:09:01 +0900] "GET /SMT/BoardInfo?board_ID=702 HTTP/1.1" 200 24059
0:0:0:0:0:0:0:1 - - [15/Sep/2023:15:09:01 +0900] "POST /SMT/listAns HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [15/Sep/2023:15:09:07 +0900] "GET /SMT/BoardInfo?board_ID=703 HTTP/1.1" 200 24042
0:0:0:0:0:0:0:1 - - [15/Sep/2023:15:09:07 +0900] "POST /SMT/listAns HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [15/Sep/2023:15:13:34 +0900] "POST /SMT/goBoard HTTP/1.1" 200 1078
0:0:0:0:0:0:0:1 - - [15/Sep/2023:15:13:34 +0900] "POST /SMT/goBoard HTTP/1.1" 200 1094
0:0:0:0:0:0:0:1 - - [15/Sep/2023:15:13:35 +0900] "POST /SMT/goBoard HTTP/1.1" 200 1108
0:0:0:0:0:0:0:1 - - [15/Sep/2023:15:13:37 +0900] "POST /SMT/goBoard HTTP/1.1" 200 1115
0:0:0:0:0:0:0:1 - - [15/Sep/2023:15:13:38 +0900] "POST /SMT/goBoard HTTP/1.1" 200 1273
0:0:0:0:0:0:0:1 - - [15/Sep/2023:15:13:40 +0900] "POST /SMT/goBoard HTTP/1.1" 200 335
0:0:0:0:0:0:0:1 - - [15/Sep/2023:15:41:03 +0900] "GET /SMT/index.jsp HTTP/1.1" 200 9800
0:0:0:0:0:0:0:1 - - [15/Sep/2023:15:41:03 +0900] "GET /SMT/js/board.js HTTP/1.1" 304 -
